system_key,buyer_country,qty,qty_unit,variant_tier,order_year,status,source,notes
f16v,保加利亞,16,架,F-16 Block 70 新造,2019,ordered,https://media.defense.gov/2024/Dec/09/2003604164/-1/-1/0/BULGARIA_19-36.PDF,北約成員。分兩批各8架：第一批2019年LOA（6單座＋2雙座），第二批2022-04-04經DSCA核准（4單座＋4雙座）；第二批細節僅以key.aero／Janes等媒體確認，未直接開啟官方PDF核對。
f16v,台灣,66,架,F-16V Block 70 新造,2019,ordered,https://media.defense.gov/2024/Dec/18/2003615456/-1/-1/0/TECRO_19-50.PDF,夥伴國（非條約盟邦）。DSCA案號19-50、2019-08-20公告、案值約80億美元；為F-16 Block 70/72新造機最大單一買家。
f16v,土耳其,40,架,F-16 Block 70 新造,2024,ordered,https://media.defense.gov/2024/Dec/09/2003604230/-1/-1/0/PRESS%20RELEASE%20-%20TURKEY%2023-07%20CN.PDF,北約成員。DSCA 2024-01-26公告原含40架新造機＋79架升級套件（案值合計約230億美元）；2024-11土耳其宣布放棄79架升級套件、改用國產TAI方案，僅維持40架新造機採購。
f16v,巴林,16,架,F-16 Block 70 新造,2019,ordered,https://www.dsca.mil/press-media/major-arms-sales/government-bahrain-f-16v-aircraft-support,主要非北約盟友(MNNA)。DSCA 2019年公告F-16V新造機與後勤支援案；此dsca.mil頁面自動化擷取回傳403，內容以多篇媒體（Lockheed投資者新聞稿、Aviation Week）交叉確認。
f16v,摩洛哥,25,架,F-16C/D Block 72 新造,2019,ordered,https://media.defense.gov/2024/Dec/09/2003602653/-1/-1/0/MOROCCO_19-09B.PDF,主要非北約盟友(MNNA)。DSCA 2019-03-25核准，案值約37.87億美元；另有23架既有Block 52+同案升級至Block 72規格（約9.85億美元，本列不計入）。
f16v,斯洛伐克,14,架,F-16 Block 70/72 新造,2018,ordered,https://media.defense.gov/2024/Dec/09/2003604079/-1/-1/0/SLOVAKIA_18-10.PDF,北約成員。DSCA 2018-04-04公告，案值約29.1億美元。
f16v,約旦,12,架,F-16C/D Block 70 新造,2022,ordered,https://www.asdnews.com/news/defense/2022/02/03/jordan-f16-cd-block-70-aircraft,主要非北約盟友(MNNA)。DSCA 2022-02-03核准8單座F-16C＋4雙座F-16D，2023-01簽約確認12架；僅媒體來源（ASDNews／Breaking Defense）確認，未取得官方PDF連結。
harpoon,南韓,19,枚,UGM-84L Harpoon Block II（另含13套升級套件）,2015,ordered,https://www.dsca.mil/press-media/major-arms-sales/republic-korea-ugm-84l-harpoon-block-ii-missiles,美國條約盟邦。DSCA 2015-11-18核准，案值約1.1億美元。
harpoon,印度,43,枚,UGM-84L/AGM-84L Harpoon Block II（三批合計：2010年21枚＋2014年12枚＋2020年10枚）,2020,ordered,https://www.dsca.mil/press-media/major-arms-sales/india-ugm-84l-harpoon-missiles,夥伴國。三筆分開DSCA案彙總列出，各批次個別案值均在2億美元以下，qty為三批加總非單次公告數字。
harpoon,台灣,400,枚,RGM-84L-4 Harpoon Block II（岸置，100套發射系統）,2020,ordered,https://web.archive.org/web/20201028233154/https://www.dsca.mil/press-media/major-arms-sales/taipei-economic-and-cultural-representative-office-united-states-17,夥伴國（非條約盟邦）。DSCA 2020-10-26核准，案值約23.7億美元，為近年最大單一魚叉飛彈訂單（岸置＋空射合計460枚）。
