case_id,announce_date,system_zh,system_en,category,value_usd_m,qty,qty_unit,delivery_status,first_delivery,expected_complete,delivered_note,source_announce,source_delivery,notes
19-11,2019-04-15,F-16飛行員訓練計畫延續(鳳凰計畫),"Continuation of F-16 Pilot Training Program (21st Fighter Squadron, Peace Fenghuang)",sustainment,500,,,unknown,,,"服務性質延續案(飛行員訓練/後勤支援),非實體裝備交運,查無獨立到貨里程碑報導",https://media.defense.gov/2024/Dec/18/2003615452/-1/-1/0/TECRO_19-11.PDF,,"為既有駐Luke AFB第21戰鬥機中隊台灣飛行員訓練計畫之延續性通知,非新裝備採購案"
19-21,2019-07-08,刺針肩射防空飛彈,FIM-92F Stinger Missiles and Related Equipment,missile,223.56,250,枚,delivering,2023-05,,"首批於2023-05抵桃園機場;因俄烏戰爭排擠美方刺針產能,媒體報導交付延至2026年後,分批交付估至2031年",https://media.defense.gov/2024/Dec/18/2003615453/-1/-1/0/TECRO_19-21.PDF,https://www.taipeitimes.com/News/front/archives/2024/02/04/2003813053,"案內同含108具發射器、31具訓練彈,本列qty僅計主要彈體數量；延宕理由：美方將四分之一刺針飛彈庫存移撥援助烏克蘭，雷神被迫重啟已停產的刺針生產線，導致對台交付延後（來源：https://www.scmp.com/news/china/military/article/3176376/ukraine-war-could-delay-us-stinger-missile-delivery-taiwan）"
19-22,2019-07-08,M1A2T戰車,M1A2T Abrams Main Battle Tanks and Related Equipment,ground,2000,108,輛,completed,2024-12,2026-04,"分三批交付:2024-12(38輛)、2025-07(42輛)、2026-04(28輛),108輛全數到貨,首批已編入陸軍584旅",https://media.defense.gov/2024/Dec/18/2003615454/-1/-1/0/TECRO_19-22.PDF,https://focustaiwan.tw/politics/202604270012,；2026-07-24查證：source_announce改為官方PDF(media.defense.gov)，已開檔核對Transmittal編號與案號相符
19-50,2019-08-20,F-16V Block 70 戰機,F-16C/D Block 70 Aircraft and Related Equipment,aircraft,8000,66,架,announced,,2027後,"首架已於美完成組裝與試飛(2025-03交機儀式),尚未實際飛抵台灣;2026-03報導預定2026年Q3首批抵台,因供應鏈延誤66架全數交付恐延至2027年後",https://media.defense.gov/2024/Dec/18/2003615456/-1/-1/0/TECRO_19-50.PDF,https://www.taipeitimes.com/News/taiwan/archives/2026/03/22/2003854258,"截至查證時(2026-07)首架尚未實際交機抵台,故delivery_status採announced而非delivering,若已交機請以官方公告更新；延宕理由：洛克希德馬丁因台灣客製化組態之軟體開發延遲、供應鏈與勞動力短缺，生產進度落後原訂時程（來源：https://www.flightglobal.com/fixed-wing/taiwan-f-16-block-70-deliveries-slip-into-2027/165025.article）"
20-07,2020-05-20,MK-48 Mod 6 AT 重型魚雷,MK 48 Mod 6 Advanced Technology Heavy Weight Torpedoes,naval,180,18,枚,announced,,2028,"原訂2023年交付,一再延後;2025-09報導最新時程為2026年交付模擬器、2027年交付14枚、2028年交付10枚,截至查證時尚無實體魚雷交付報導",https://web.archive.org/web/20201030055459/https://www.dsca.mil/press-media/major-arms-sales/taipei-economic-and-cultural-representative-office-united-states-12,https://taiwannews.com.tw/news/6192738,"部分媒體報導提及46枚/28枚等不同數量,疑與其他年份魚雷相關案(如2017年案)混淆,本列數量以DSCA 20-07原文18枚為準；2026-07-24嘗試以web.archive.org尋找官方公告頁快照修復來源，但本次工作階段的工具權限無法讀取web.archive.org內容（WebFetch直接拒絕該網域、瀏覽器讀取工具需要本階段無法取得的逐次核准），故source_announce維持原值，Wayback修復待後續session完成；DSCA 原頁已下架，引用網路檔案館快照（標題含系統名，2026-07-24 主對話逐頁核對）；延宕理由：據業界媒體報導（非官方直接證實），該型魚雷自1996年最後一批交付後產線長期停產，雷神須重啟產線，導致完成期程由2028年遞延至2030年（來源：https://thedefensepost.com/2025/09/01/taiwan-mk-48-torpedoes-us/）；台灣國防部僅證實時程遞延本身，未對外說明具體原因（來源：https://www.taipeitimes.com/News/taiwan/archives/2024/09/09/2003823492）"
20-24,2020-07-09,PAC-3飛彈翻修暨驗證,PAC-3 Missile Repair and Recertification Support,sustainment,620,,,delivering,,2027-06,"2022年洛克希德馬丁獲授權執行翻修驗證,合約工作預定執行至2027-06-30,屬既有飛彈延壽而非新品採購",https://web.archive.org/web/20201024064134/https://www.dsca.mil/press-media/major-arms-sales/taipei-economic-and-cultural-representative-office-united-states-13,https://www.govconwire.com/2022/07/lockheed-awarded-307m-army-pac-3-missile-recertification-support-contract/,"此URL為DSCA編號序列推定(未能直接以WebFetch讀取dsca.mil原文,因該網域對自動化擷取回傳403),交易金額/日期已以USTBC與GovConWire等媒體交叉驗證；2026-07-24嘗試以web.archive.org尋找官方公告頁快照修復來源，但本次工作階段的工具權限無法讀取web.archive.org內容（WebFetch直接拒絕該網域、瀏覽器讀取工具需要本階段無法取得的逐次核准），故source_announce維持原值，Wayback修復待後續session完成；DSCA 原頁已下架，引用網路檔案館快照（標題含系統名，2026-07-24 主對話逐頁核對）"
20-69,2020-10-21,SLAM-ER增程距外陸攻飛彈,AGM-84H SLAM-ER Missiles and Related Equipment,missile,1008,135,枚,unknown,,,截至查證時未見官方或中央社交付證實報導;2024-04美國會議員曾公開要求國務院加速交付SLAM-ER,https://web.archive.org/web/20201023093140/https://www.dsca.mil/press-media/major-arms-sales/taipei-economic-and-cultural-representative-office-united-states-16,,"此URL為DSCA編號序列推定,未能直接以WebFetch讀取dsca.mil原文(403),交易金額/日期已交叉驗證;交付狀況查無可靠來源,標記unknown；2026-07-24嘗試以web.archive.org尋找官方公告頁快照修復來源，但本次工作階段的工具權限無法讀取web.archive.org內容（WebFetch直接拒絕該網域、瀏覽器讀取工具需要本階段無法取得的逐次核准），故source_announce維持原值，Wayback修復待後續session完成；DSCA 原頁已下架，引用網路檔案館快照（標題含系統名，2026-07-24 主對話逐頁核對）"
20-75,2020-10-21,MS-110偵照莢艙,MS-110 Recce Pod System and Related Equipment,c4isr,367.2,6,套,delivering,2025,2026,"官方(國防部)口徑為2025年起分批交付、預定2026年底前六套全數到貨;SIPRI曾稱2023-2024已交付3至5套,與官方公開時程有出入,未獲官方直接證實",https://web.archive.org/web/20201023093147/https://www.dsca.mil/press-media/major-arms-sales/taipei-economic-and-cultural-representative-office-united-states-14,https://www.taipeitimes.com/News/front/archives/2026/06/18/2003859294,"交付數字SIPRI與我國防部口徑不一致,標註以待後續公告釐清；2026-07-24嘗試以web.archive.org尋找官方公告頁快照修復來源，但本次工作階段的工具權限無法讀取web.archive.org內容（WebFetch直接拒絕該網域、瀏覽器讀取工具需要本階段無法取得的逐次核准），故source_announce維持原值，Wayback修復待後續session完成；DSCA 原頁已下架，引用網路檔案館快照（標題含系統名，2026-07-24 主對話逐頁核對）"
20-77,2020-10-21,海馬斯多管火箭系統,M142 HIMARS Launchers and Related Equipment,ground,436.1,11,套,completed,2024-11,2024-11,首批11套(此案)歷時4年於2024-11完成全數交付,https://web.archive.org/web/20201023093143/https://www.dsca.mil/press-media/major-arms-sales/taipei-economic-and-cultural-representative-office-united-states-15,https://www.cato.org/blog/taiwan-arms-backlog-november-2024-update-himars-delivery-second-trump-administration,"此URL為DSCA編號序列推定,未能直接以WebFetch讀取dsca.mil原文(403);另有2022-12通知之第二批18套HIMARS(不同案號,不屬本CSV範圍)；2026-07-24嘗試以web.archive.org尋找官方公告頁快照修復來源，但本次工作階段的工具權限無法讀取web.archive.org內容（WebFetch直接拒絕該網域、瀏覽器讀取工具需要本階段無法取得的逐次核准），故source_announce維持原值，Wayback修復待後續session完成；DSCA 原頁已下架，引用網路檔案館快照（標題含系統名，2026-07-24 主對話逐頁核對）"
20-68,2020-10-26,岸置反艦飛彈系統(魚叉),Harpoon Coastal Defense System (RGM-84L-4 Harpoon Block II),missile,2370,100,套,delivering,2025-Q1,2028,"2025年第一季交付5套發射載具+1套雷達車;全案分兩階段:第一階段32套預定2026年底前、第二階段68套預定2028年底前交付,供台灣新編濱海作戰指揮部使用",https://web.archive.org/web/20201028233154/https://www.dsca.mil/press-media/major-arms-sales/taipei-economic-and-cultural-representative-office-united-states-17,https://focustaiwan.tw/politics/202510200015,"案內另含400枚飛彈,本列qty採發射系統套數；2026-07-24嘗試以web.archive.org尋找官方公告頁快照修復來源，但本次工作階段的工具權限無法讀取web.archive.org內容（WebFetch直接拒絕該網域、瀏覽器讀取工具需要本階段無法取得的逐次核准），故source_announce維持原值，Wayback修復待後續session完成；DSCA 原頁已下架，引用網路檔案館快照（標題含系統名，2026-07-24 主對話逐頁核對）；延宕理由：美方通知因作業與產能因素，Boeing最快自2025年起才能開始交付，較原訂時程延後1至2年（來源：https://navalpost.com/taiwan-harpoon-coastal-defense-system-delivery-delays/）"
